"","...1","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"209",24,"bone marrow, gallbladder, salivary gland",1,24,"24-Tissue enhanced: bone marrow, gallbladder, salivary gland","60%-40%","SVM"
"210",25,"bone marrow, intestine, salivary gland",1,25,"25-Tissue enhanced: bone marrow, intestine, salivary gland","60%-40%","SVM"
"211",26,"bone marrow, lung, lymphoid tissue",2,26,"26-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","SVM"
"212",27,"bone marrow, lymphoid tissue",11,27,"27-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","SVM"
"213",28,"bone marrow, stomach 1, urinary bladder",1,28,"28-Tissue enhanced: bone marrow, stomach 1, urinary bladder","60%-40%","SVM"
"214",29,"brain",5,29,"29-Tissue enhanced: brain","60%-40%","SVM"
"215",30,"brain, choroid plexus, lung",1,30,"30-Tissue enhanced: brain, choroid plexus, lung","60%-40%","SVM"
"216",31,"brain, gallbladder, kidney, placenta",1,31,"31-Tissue enhanced: brain, gallbladder, kidney, placenta","60%-40%","SVM"
"217",32,"brain, heart muscle, testis",1,32,"32-Tissue enhanced: brain, heart muscle, testis","60%-40%","SVM"
"218",33,"brain, intestine",1,33,"33-Tissue enhanced: brain, intestine","60%-40%","SVM"
"219",34,"brain, kidney, testis",1,34,"34-Tissue enhanced: brain, kidney, testis","60%-40%","SVM"
"220",35,"brain, liver",1,35,"35-Tissue enhanced: brain, liver","60%-40%","SVM"
"221",36,"brain, ovary",2,36,"36-Tissue enhanced: brain, ovary","60%-40%","SVM"
"222",37,"brain, parathyroid gland",1,37,"37-Tissue enhanced: brain, parathyroid gland","60%-40%","SVM"
"223",38,"brain, testis",1,38,"38-Tissue enhanced: brain, testis","60%-40%","SVM"
"224",39,"brain, thyroid gland",1,39,"39-Tissue enhanced: brain, thyroid gland","60%-40%","SVM"
"225",40,"brain, urinary bladder",1,40,"40-Tissue enhanced: brain, urinary bladder","60%-40%","SVM"
"226",41,"breast, fallopian tube, pancreas",1,41,"41-Tissue enhanced: breast, fallopian tube, pancreas","60%-40%","SVM"
"227",42,"cervix",1,42,"42-Tissue enhanced: cervix","60%-40%","SVM"
"228",43,"cervix, endometrium 1, smooth muscle",1,43,"43-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","SVM"
"229",44,"cervix, gallbladder",1,44,"44-Tissue enhanced: cervix, gallbladder","60%-40%","SVM"
"230",45,"cervix, placenta, urinary bladder",1,45,"45-Tissue enhanced: cervix, placenta, urinary bladder","60%-40%","SVM"
"231",46,"cervix, salivary gland",1,46,"46-Tissue enhanced: cervix, salivary gland","60%-40%","SVM"
"232",47,"choroid plexus, fallopian tube, lung, salivary gland",1,47,"47-Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland","60%-40%","SVM"
"233",48,"choroid plexus, ovary",1,48,"48-Tissue enhanced: choroid plexus, ovary","60%-40%","SVM"
"234",49,"choroid plexus, retina, skeletal muscle, tongue",1,49,"49-Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue","60%-40%","SVM"
"235",50,"endometrium 1",1,50,"50-Tissue enhanced: endometrium 1","60%-40%","SVM"
"236",51,"esophagus",2,51,"51-Tissue enhanced: esophagus","60%-40%","SVM"
"237",52,"esophagus, liver, skin 1",1,52,"52-Tissue enhanced: esophagus, liver, skin 1","60%-40%","SVM"
"238",53,"esophagus, lymphoid tissue",1,53,"53-Tissue enhanced: esophagus, lymphoid tissue","60%-40%","SVM"
"239",54,"esophagus, lymphoid tissue, vagina",1,54,"54-Tissue enhanced: esophagus, lymphoid tissue, vagina","60%-40%","SVM"
"240",55,"esophagus, skin 1, vagina",1,55,"55-Tissue enhanced: esophagus, skin 1, vagina","60%-40%","SVM"
"241",56,"esophagus, vagina",2,56,"56-Tissue enhanced: esophagus, vagina","60%-40%","SVM"
"242",57,"gallbladder",1,57,"57-Tissue enhanced: gallbladder","60%-40%","SVM"
"243",58,"gallbladder, intestine, kidney",1,58,"58-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","SVM"
"244",59,"heart muscle, liver",1,59,"59-Tissue enhanced: heart muscle, liver","60%-40%","SVM"
"245",60,"intestine",1,60,"60-Tissue enhanced: intestine","60%-40%","SVM"
"246",61,"intestine, liver",1,61,"61-Tissue enhanced: intestine, liver","60%-40%","SVM"
"247",62,"intestine, lymphoid tissue",1,62,"62-Tissue enhanced: intestine, lymphoid tissue","60%-40%","SVM"
"248",63,"intestine, lymphoid tissue, stomach 1, urinary bladder",1,63,"63-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","SVM"
"249",64,"intestine, salivary gland",2,64,"64-Tissue enhanced: intestine, salivary gland","60%-40%","SVM"
